wavelength,flux,err
5.17826,1.940078552494277e-16,1.1988824840078625e-17
5.17907,1.97092228411316e-16,1.3309068758986165e-17
5.17987,1.8810349359807542e-16,1.1392393411550256e-17
5.18067,1.8339988598631615e-16,1.1250940573355758e-17
5.18147,1.81525414307531e-16,1.2044512885074985e-17
5.18227,1.7406111786741698e-16,1.1721266715447073e-17
5.18307,1.850813333932925e-16,9.214260695844786e-18
5.18387,1.912820768794394e-16,1.20540406232619e-17
5.18467,1.839426972173333e-16,1.0717067538413429e-17
5.18547,1.891446607316341e-16,1.0582301674377422e-17
5.18627,1.9149332337740174e-16,1.0763099910130569e-17
5.18707,1.8608406469542878e-16,9.734778954510517e-18
5.18787,1.8541138657850055e-16,1.2403719043624317e-17
5.18867,1.896712089439673e-16,1.3892955370890246e-17
5.18948,1.850436789282021e-16,1.3177609902659745e-17
5.19028,1.862027708557982e-16,1.5012797483968788e-17
5.19108,1.8918132554703908e-16,1.6765308322056696e-17
5.19188,1.916085612802836e-16,1.2789908065657173e-17
5.19268,1.8765593787140636e-16,1.1019019512590917e-17
5.19348,1.8297776695679704e-16,1.052583236558356e-17
5.19428,1.9271357259357002e-16,9.657410259312559e-18
5.19508,1.8744470109986112e-16,1.1594086914876014e-17
5.19588,1.854540219131667e-16,1.1298003185731634e-17
5.19668,1.878383106229667e-16,1.3384691941292073e-17
5.19748,1.8711622404279175e-16,1.2941955617385626e-17
5.19828,1.810763332398052e-16,1.2817341835416993e-17
5.19908,1.690779063685095e-16,1.189091916082306e-17
5.19989,1.8546800976084323e-16,1.1311374555670437e-17
5.20069,1.9112692130588734e-16,9.604967392512693e-18
5.20149,1.8886224580648802e-16,1.0024224294270357e-17
5.20229,1.787134652581189e-16,9.541485216335829e-18
5.20309,1.8521412325385316e-16,8.563569479813174e-18
5.20389,1.928349941555143e-16,1.1299226198291469e-17
5.20469,1.8638485929202167e-16,1.0707462321004037e-17
5.20549,1.9562366229117182e-16,1.1622756366930816e-17
5.20629,1.823976015407318e-16,1.0143314263581068e-17
5.20709,1.9498161700003196e-16,1.020982488554618e-17
5.20789,1.9233443454097626e-16,9.456767925674657e-18
5.20869,1.920055851663798e-16,8.719924736553933e-18
5.20949,1.8959035572668762e-16,1.0752436175872637e-17
5.2103,1.881880322151827e-16,8.447178396121916e-18
5.2111,1.749380578041585e-16,9.893695580260314e-18
5.2119,1.852285408209048e-16,1.1319372759798781e-17
5.2127,1.820697196729975e-16,1.2468359532585024e-17
5.2135,1.7260985711412088e-16,1.1199014895064444e-17
5.2143,1.7690778137859358e-16,1.251325246536562e-17
5.2151,1.7797624608714834e-16,1.2253044448304119e-17
5.2159,1.789824572979267e-16,1.2661180471616818e-17
5.2167,1.8875971101189815e-16,1.2681567345954017e-17
5.2175,1.8602371703795614e-16,1.0488342178141966e-17
5.2183,1.9364452263942456e-16,1.1627038556220325e-17
5.2191,2.0459385351869263e-16,9.781750951675833e-18
5.2199,1.9085449131564503e-16,1.173221630360837e-17
5.22071,1.8884475097357023e-16,1.0752189412447975e-17
5.22151,1.7729496476675472e-16,1.0684990244684765e-17
5.22231,1.8133123259580886e-16,1.0029808075556066e-17
5.22311,1.7656953081673162e-16,9.783213481086236e-18
5.22391,1.800389052623469e-16,9.354513366884569e-18
5.22471,1.8380897429451596e-16,8.711301956345644e-18
5.22551,1.7909530496432426e-16,8.397931647944057e-18
5.22631,1.8542284850512522e-16,8.937801942542933e-18
5.22711,1.8298018953966336e-16,1.055269796754371e-17
5.22791,1.8720618526887055e-16,1.0897451742661049e-17
5.22871,1.995507351358719e-16,1.1493361557144414e-17
5.22951,1.8424454435543515e-16,9.794092562164129e-18
5.23031,1.888235521633811e-16,9.400060780382377e-18
5.23112,1.9336676162184176e-16,9.18378452213263e-18
5.23192,1.8881784313085944e-16,9.229595260831173e-18
5.23272,1.816165843212074e-16,1.0485694785692921e-17
5.23352,1.9082872653140283e-16,9.0950689977913e-18
5.23432,1.959023407869368e-16,1.0100277674831185e-17
5.23512,1.9052209103053656e-16,8.861140550439873e-18
5.23592,1.8063550921320562e-16,1.0135625039087314e-17
5.23672,1.816671545538892e-16,1.126169867043748e-17
5.23752,1.840376648543582e-16,1.1482983694796019e-17
5.23832,1.817764767886208e-16,1.265281728707428e-17
5.23912,1.9289560182806311e-16,1.0293353434794309e-17
5.23992,1.8491710186044158e-16,9.568617635653204e-18
5.24072,1.7696168892075655e-16,9.179020966761904e-18
5.24152,1.7733829472290156e-16,9.678152145202898e-18
5.24233,1.7847852363736054e-16,1.0257205058539568e-17
5.24313,1.7703338294814391e-16,1.0362442417723146e-17
5.24393,1.727594202692771e-16,9.8213013768138e-18
5.24473,1.7564793334415306e-16,1.2490268387293904e-17
5.24553,1.6465740798193235e-16,1.3181250931013727e-17
5.24633,1.79446098917927e-16,1.188261869202186e-17
5.24713,1.8464501308011664e-16,9.849770251685684e-18
5.24793,1.7875394372166915e-16,9.544156437342904e-18
5.24873,1.8941769550949008e-16,1.1648886426042681e-17
5.24953,1.9314415517958503e-16,9.143955591800635e-18
5.25033,1.9188581191870941e-16,1.2036474876717139e-17
5.25113,1.9009147319823576e-16,1.0105109733789065e-17
5.25193,1.8461966705455307e-16,1.0572802724934742e-17
5.25274,1.7437318007031796e-16,1.0534190360937513e-17
5.25354,1.6313757463935882e-16,1.0490657336692504e-17
5.25434,1.8192369555159068e-16,1.3440865786245208e-17
5.25514,1.9268674738100768e-16,1.0264546778616722e-17
5.25594,1.866855406452383e-16,1.0820369326788129e-17
5.25674,1.7777013242164943e-16,1.0267944672461358e-17
5.25754,1.749614764535922e-16,1.0959962893810521e-17
5.25834,1.7340754842571732e-16,9.88125422772988e-18
5.25914,1.8492734583281115e-16,1.140783360872885e-17
5.25994,1.878638341802493e-16,1.0784242654471985e-17
5.26074,1.950402810880261e-16,9.590376466231836e-18
5.26154,1.922456565068355e-16,9.51276592637837e-18
5.26234,1.9809404933901743e-16,9.777527365021832e-18
5.26315,1.8913814934760586e-16,1.168377151698625e-17
5.26395,1.9170188989441072e-16,1.1303987401885685e-17
5.26475,2.0293590757941736e-16,1.1587864037974467e-17
5.26555,1.9284869947544162e-16,1.080328064342457e-17
5.26635,1.9370043910520552e-16,1.0021716633124798e-17
5.26715,1.8213993065229528e-16,8.310177257681089e-18
5.26795,1.8394335023995243e-16,8.432541020385872e-18
5.26875,1.8463586749035488e-16,9.137143076685576e-18
5.26955,1.8034371552027044e-16,8.676766696350986e-18
5.27035,1.716067198355093e-16,9.456604022113986e-18
5.27115,1.722670325856469e-16,1.0438830095385993e-17
5.27195,1.7799938214579992e-16,1.1371741748816052e-17
5.27275,1.8203123451983242e-16,1.0879491610362665e-17
5.27356,1.8160077293039594e-16,1.1178045369911885e-17
5.27436,1.7596163617477743e-16,1.0308508983949165e-17
5.27516,1.691232158365711e-16,1.0597602807284468e-17
5.27596,1.6972845582313228e-16,9.966837409053369e-18
5.27676,1.7011909325596827e-16,1.0095475781572849e-17
5.27756,1.8270925316017827e-16,1.0102374563659439e-17
5.27836,1.776357047559802e-16,9.51902141328784e-18
5.27916,1.7774882664441906e-16,1.0625219893407593e-17
5.27996,1.8513232993809203e-16,1.044580159753673e-17
5.28076,1.811776681965394e-16,1.1118211090809913e-17
5.28156,1.9809048016764447e-16,1.0958130835423649e-17
5.28236,1.8276712610871882e-16,1.108264575237516e-17
5.28316,1.8129949257893384e-16,8.955857447033816e-18
5.28397,1.7135448772104284e-16,1.066333137394489e-17
5.28477,1.7774384806329811e-16,9.123832008196985e-18
5.28557,1.7829167175146803e-16,1.1182106365690162e-17
5.28637,1.64998324534414e-16,9.654693662744625e-18
5.28717,1.792006036343572e-16,9.168343966534945e-18
5.28797,1.779909480991521e-16,9.758049041513256e-18
5.28877,1.8480123063474356e-16,9.576470954558956e-18
5.28957,1.807572124918955e-16,1.1077916729117238e-17
5.29037,1.8362072160142763e-16,1.0562152951864993e-17
5.29117,1.8272687416361603e-16,1.1133966326015052e-17
5.29197,1.818370490132663e-16,1.0279705957977581e-17
5.29277,1.7528317588316588e-16,1.017108453656725e-17
