wavelength,flux,error
5242.43,7.72671922385118e-19,8.751532793845824e-17
5243.68,9.475448274642566e-19,9.648426853607113e-17
5244.93,7.801704997724278e-19,1.0365174506241119e-16
5246.18,-1.5306811285660194e-18,9.862826278273834e-17
5247.43,9.413052120647598e-19,9.880958850539869e-17
5248.68,1.0397536155542174e-18,1.0367332707463627e-16
5249.93,3.572729416165087e-18,9.363251771060114e-17
5251.18,8.802175656062183e-19,9.679812307262693e-17
5252.43,1.5399309579691461e-18,1.0680756451817473e-16
5253.68,5.546638811333555e-18,9.967882899385474e-17
5254.93,6.124071648180271e-18,1.150437347644324e-16
5256.18,-1.4184360274430201e-18,1.1534252141348758e-16
5257.43,3.6175044794208195e-18,1.1681299938963743e-16
5258.68,7.680655857932934e-19,1.19399866087052e-16
5259.93,-1.0436354004989535e-18,1.1771918505817333e-16
5261.18,1.5133146741191483e-18,1.0250933099442287e-16
5262.43,3.0210586564632096e-18,1.0400879341350266e-16
5263.68,4.5158246060063536e-20,9.154221061118639e-17
5264.93,1.8565516909317277e-18,8.948846284576278e-17
5266.18,3.631502139946373e-18,8.992986022224734e-17
5267.43,2.2638864239156164e-18,1.0085391604673422e-16
5268.68,7.903175950838623e-19,1.090420496372218e-16
5269.93,-1.9127653609511762e-18,9.871077686324536e-17
5271.18,-5.798685445452982e-19,9.816989986504267e-17
5272.43,1.4015977666056902e-18,1.115716196256972e-16
5273.68,4.507186152864804e-18,1.171868742492782e-16
5274.93,-1.8375353569798665e-18,1.170695140108397e-16
5276.18,1.7247293303695852e-18,1.154941628172888e-16
5277.43,4.223066430487818e-19,1.1519747863174567e-16
5278.68,-6.79458191737197e-19,1.276014153621256e-16
5279.93,1.9076225656013316e-18,1.2001610041187137e-16
5281.18,6.264874540404184e-19,1.151396296525952e-16
5282.43,3.647734162725503e-18,1.1698787967861194e-16
5283.68,-4.817556987794169e-19,1.1986631887790754e-16
5284.93,3.443195087279035e-18,1.1943187403898968e-16
5286.18,7.33791735808042e-18,1.2772431439371254e-16
5287.43,7.552003759815133e-19,1.3873956862545515e-16
5288.68,3.3715579236461814e-18,1.2979120704428942e-16
5289.93,9.779592516490438e-19,1.209804763622743e-16
5291.18,-1.4774565874912789e-18,1.2890008862001598e-16
5292.43,-1.4155794715153524e-18,1.283065807022495e-16
5293.68,-2.7179130778113432e-18,1.3082664283588402e-16
5294.93,2.406946784688255e-18,1.311217764477302e-16
5296.18,2.5427303734659663e-18,1.2824260065906384e-16
5297.43,2.9638308676180855e-18,1.1713738848885772e-16
5298.68,-3.5607136183496995e-18,1.224727327357833e-16
5299.93,-1.22668752403727e-18,1.1783034470914215e-16
5301.18,2.502029610794616e-18,1.2376987012841663e-16
5302.43,4.330993666239403e-18,1.2039525581181783e-16
5303.68,3.2254007421435863e-19,1.3006285217925494e-16
5304.93,7.100091930424302e-19,1.364554915633373e-16
5306.18,2.6708454025635154e-18,1.352361038413523e-16
5307.43,-3.5239174095807133e-19,1.2526142368035897e-16
5308.68,-7.7645182337621115e-19,1.2210084888270938e-16
5309.93,-3.7088483561534736e-20,1.2180019806047336e-16
5311.18,2.080737478549555e-18,1.2212592548164807e-16
5312.43,-4.355054924684376e-19,1.1945267647282814e-16
5313.68,1.8389913692812474e-18,1.1930172421576039e-16
5314.93,2.4557613486093967e-18,1.2833965584609017e-16
5316.18,2.9166443949372496e-18,1.4059737235910203e-16
5317.43,1.990063731296659e-18,1.4092433001691795e-16
5318.68,4.282002407925091e-18,1.304020418844242e-16
5319.93,9.482885091810485e-19,1.3129738048692034e-16
5321.18,4.832265930761514e-18,1.3014215685279829e-16
5322.43,2.4676821488533835e-18,1.2816785503310098e-16
5323.68,1.7729656426480458e-18,1.344139257990806e-16
5324.93,3.3697669547462303e-18,1.3180808459725356e-16
5326.18,-2.203319273513008e-19,1.363901346519541e-16
5327.43,3.1035545222042656e-18,1.265854891770004e-16
5328.68,3.4307716382868544e-18,1.204109503040057e-16
5329.93,1.3653266124093854e-18,1.2278479397564634e-16
5331.18,2.360806736901787e-18,1.3496080122359345e-16
5332.43,4.743472220038834e-19,1.317372554110221e-16
5333.68,3.2421710872037042e-18,1.2818446713001379e-16
5334.93,9.210023436038336e-19,1.3112987360556846e-16
5336.18,3.012796936821728e-18,1.2715832030716763e-16
5337.43,3.2964572992644774e-18,1.2951946557083992e-16
5338.68,-6.12410207691346e-20,1.3330591667667717e-16
5339.93,1.9624050020141086e-18,1.3046801026168428e-16
5341.18,7.456291168425073e-19,1.2602880934999635e-16
5342.43,1.4783561958726758e-18,1.3790817299815594e-16
5343.68,1.7182944320203265e-18,1.3325939188629344e-16
5344.93,2.367372297987762e-18,1.378186563254471e-16
5346.18,5.368366298036472e-19,1.23333687993468e-16
5347.43,1.057043253827784e-18,1.34133742154545e-16
5348.68,3.744231028374321e-18,1.3168891937035028e-16
5349.93,3.3156648410219e-18,1.4944785991471638e-16
5351.18,6.532429142664425e-19,1.5724447114246514e-16
5352.43,8.6907174793107e-19,1.5907845995525196e-16
5353.68,4.394622329546662e-18,1.6135386567309393e-16
5354.93,3.867060851174694e-18,1.6532921315673877e-16
5356.18,1.963154544086118e-18,1.631997042731212e-16
5357.43,3.960798605377112e-18,1.6041627667963764e-16
5358.68,2.3123090288365857e-18,1.4410496711495653e-16
5359.93,2.2343989469858258e-18,1.4213983343488015e-16
5361.18,1.0345054595690432e-18,1.3789451536039387e-16
5362.43,7.326287135940502e-19,1.4576881025418313e-16
5363.68,3.774913181317205e-18,1.40410815667565e-16
5364.93,2.276580375797749e-18,1.3254740844675746e-16
5366.18,-2.303951305021369e-19,1.4301767638598814e-16
5367.43,-2.477978641467717e-19,1.5029304668335597e-16
5368.68,2.1339728618610724e-18,1.4402126060307977e-16
5369.93,4.150872571447218e-18,1.3755730066833566e-16
5371.18,4.515988612410365e-18,1.4036590001337252e-16
